[2021-12-11 15:26:11,165][train.py][line:78][INFO] start training!
[2021-12-11 15:27:06,190][train.py][line:112][INFO] epoch [1]: train loss is:0.007877,train acc is:0.746177
[2021-12-11 15:27:06,626][train.py][line:152][INFO] test loss is:0.006482,test acc is:0.807091
[2021-12-11 15:27:06,627][train.py][line:120][INFO] best acc is 0.807091,best model is changed
[2021-12-11 15:28:01,139][train.py][line:112][INFO] epoch [2]: train loss is:0.005252,train acc is:0.854174
[2021-12-11 15:28:01,625][train.py][line:152][INFO] test loss is:0.006134,test acc is:0.815104
[2021-12-11 15:28:01,626][train.py][line:120][INFO] best acc is 0.815104,best model is changed
[2021-12-11 15:28:56,424][train.py][line:112][INFO] epoch [3]: train loss is:0.003677,train acc is:0.904761
[2021-12-11 15:28:56,869][train.py][line:152][INFO] test loss is:0.006060,test acc is:0.839143
[2021-12-11 15:28:56,870][train.py][line:120][INFO] best acc is 0.839143,best model is changed
[2021-12-11 15:29:51,547][train.py][line:112][INFO] epoch [4]: train loss is:0.002341,train acc is:0.942568
[2021-12-11 15:29:52,039][train.py][line:152][INFO] test loss is:0.007111,test acc is:0.837740
[2021-12-11 15:30:47,312][train.py][line:112][INFO] epoch [5]: train loss is:0.001296,train acc is:0.970395
[2021-12-11 15:30:47,795][train.py][line:152][INFO] test loss is:0.009165,test acc is:0.830729
[2021-12-11 15:31:42,341][train.py][line:112][INFO] epoch [6]: train loss is:0.000624,train acc is:0.987087
[2021-12-11 15:31:42,788][train.py][line:152][INFO] test loss is:0.012870,test acc is:0.811098
[2021-12-11 15:32:37,296][train.py][line:112][INFO] epoch [7]: train loss is:0.000339,train acc is:0.993554
[2021-12-11 15:32:37,755][train.py][line:152][INFO] test loss is:0.014079,test acc is:0.828325
[2021-12-11 15:33:32,283][train.py][line:112][INFO] epoch [8]: train loss is:0.000220,train acc is:0.995533
[2021-12-11 15:33:32,766][train.py][line:152][INFO] test loss is:0.014961,test acc is:0.823518
[2021-12-11 15:34:27,275][train.py][line:112][INFO] epoch [9]: train loss is:0.000179,train acc is:0.996288
[2021-12-11 15:34:27,722][train.py][line:152][INFO] test loss is:0.018927,test acc is:0.823117
[2021-12-11 15:35:22,266][train.py][line:112][INFO] epoch [10]: train loss is:0.000165,train acc is:0.996199
[2021-12-11 15:35:22,711][train.py][line:152][INFO] test loss is:0.014919,test acc is:0.816306
[2021-12-11 15:36:17,369][train.py][line:112][INFO] epoch [11]: train loss is:0.000126,train acc is:0.997400
[2021-12-11 15:36:17,837][train.py][line:152][INFO] test loss is:0.020306,test acc is:0.834535
[2021-12-11 15:37:12,582][train.py][line:112][INFO] epoch [12]: train loss is:0.000067,train acc is:0.998933
[2021-12-11 15:37:13,029][train.py][line:152][INFO] test loss is:0.018573,test acc is:0.826522
[2021-12-11 15:38:07,769][train.py][line:112][INFO] epoch [13]: train loss is:0.000088,train acc is:0.998133
[2021-12-11 15:38:08,216][train.py][line:152][INFO] test loss is:0.019633,test acc is:0.830329
[2021-12-11 15:39:02,971][train.py][line:112][INFO] epoch [14]: train loss is:0.000110,train acc is:0.997911
[2021-12-11 15:39:03,427][train.py][line:152][INFO] test loss is:0.018294,test acc is:0.826923
[2021-12-11 15:39:58,150][train.py][line:112][INFO] epoch [15]: train loss is:0.000099,train acc is:0.998044
[2021-12-11 15:39:58,619][train.py][line:152][INFO] test loss is:0.019861,test acc is:0.824720
[2021-12-11 15:40:53,354][train.py][line:112][INFO] epoch [16]: train loss is:0.000072,train acc is:0.998555
[2021-12-11 15:40:53,801][train.py][line:152][INFO] test loss is:0.016199,test acc is:0.820112
[2021-12-11 15:41:48,564][train.py][line:112][INFO] epoch [17]: train loss is:0.000041,train acc is:0.999267
[2021-12-11 15:41:49,012][train.py][line:152][INFO] test loss is:0.020237,test acc is:0.823718
[2021-12-11 15:42:43,796][train.py][line:112][INFO] epoch [18]: train loss is:0.000016,train acc is:0.999756
[2021-12-11 15:42:44,266][train.py][line:152][INFO] test loss is:0.024287,test acc is:0.826122
[2021-12-11 15:43:38,996][train.py][line:112][INFO] epoch [19]: train loss is:0.000077,train acc is:0.998155
[2021-12-11 15:43:39,458][train.py][line:152][INFO] test loss is:0.020836,test acc is:0.826322
[2021-12-11 15:44:34,200][train.py][line:112][INFO] epoch [20]: train loss is:0.000053,train acc is:0.999044
[2021-12-11 15:44:34,645][train.py][line:152][INFO] test loss is:0.018706,test acc is:0.817708
[2021-12-11 15:44:34,824][train.py][line:123][INFO] finish training!
