[2021-12-18 15:05:04,671][train_and_eval.py][line:81][INFO] start training!
[2021-12-18 15:05:49,036][train_and_eval.py][line:111][INFO] epoch [1]: train loss is:0.006103,train acc is:0.830781
[2021-12-18 15:05:49,466][train_and_eval.py][line:74][INFO] test loss is:0.004721,test acc is:0.871595
[2021-12-18 15:05:49,466][train_and_eval.py][line:120][INFO] best model is changed, best acc is 0.871595
[2021-12-18 15:06:31,165][train_and_eval.py][line:111][INFO] epoch [2]: train loss is:0.004329,train acc is:0.886335
[2021-12-18 15:06:31,595][train_and_eval.py][line:74][INFO] test loss is:0.004313,test acc is:0.883714
[2021-12-18 15:06:31,596][train_and_eval.py][line:120][INFO] best model is changed, best acc is 0.883714
[2021-12-18 15:07:14,087][train_and_eval.py][line:111][INFO] epoch [3]: train loss is:0.003463,train acc is:0.911651
[2021-12-18 15:07:14,521][train_and_eval.py][line:74][INFO] test loss is:0.004292,test acc is:0.886518
[2021-12-18 15:07:14,521][train_and_eval.py][line:120][INFO] best model is changed, best acc is 0.886518
[2021-12-18 15:07:57,297][train_and_eval.py][line:111][INFO] epoch [4]: train loss is:0.002790,train acc is:0.930532
[2021-12-18 15:07:57,758][train_and_eval.py][line:74][INFO] test loss is:0.004600,test acc is:0.891126
[2021-12-18 15:07:57,758][train_and_eval.py][line:120][INFO] best model is changed, best acc is 0.891126
[2021-12-18 15:08:40,794][train_and_eval.py][line:111][INFO] epoch [5]: train loss is:0.002221,train acc is:0.945813
[2021-12-18 15:08:41,258][train_and_eval.py][line:74][INFO] test loss is:0.004816,test acc is:0.887821
[2021-12-18 15:09:23,610][train_and_eval.py][line:111][INFO] epoch [6]: train loss is:0.001823,train acc is:0.956059
[2021-12-18 15:09:24,040][train_and_eval.py][line:74][INFO] test loss is:0.005171,test acc is:0.890024
[2021-12-18 15:10:05,975][train_and_eval.py][line:111][INFO] epoch [7]: train loss is:0.001470,train acc is:0.965394
[2021-12-18 15:10:06,404][train_and_eval.py][line:74][INFO] test loss is:0.005872,test acc is:0.887220
[2021-12-18 15:10:48,302][train_and_eval.py][line:111][INFO] epoch [8]: train loss is:0.001249,train acc is:0.971017
[2021-12-18 15:10:48,731][train_and_eval.py][line:74][INFO] test loss is:0.006634,test acc is:0.886719
[2021-12-18 15:11:31,291][train_and_eval.py][line:111][INFO] epoch [9]: train loss is:0.001051,train acc is:0.975851
[2021-12-18 15:11:31,721][train_and_eval.py][line:74][INFO] test loss is:0.007240,test acc is:0.884515
[2021-12-18 15:12:13,401][train_and_eval.py][line:111][INFO] epoch [10]: train loss is:0.000895,train acc is:0.979252
[2021-12-18 15:12:13,830][train_and_eval.py][line:74][INFO] test loss is:0.008059,test acc is:0.886118
[2021-12-18 15:12:55,509][train_and_eval.py][line:111][INFO] epoch [11]: train loss is:0.000800,train acc is:0.981630
[2021-12-18 15:12:55,938][train_and_eval.py][line:74][INFO] test loss is:0.008518,test acc is:0.879107
[2021-12-18 15:13:37,826][train_and_eval.py][line:111][INFO] epoch [12]: train loss is:0.000693,train acc is:0.984253
[2021-12-18 15:13:38,260][train_and_eval.py][line:74][INFO] test loss is:0.009323,test acc is:0.887119
[2021-12-18 15:14:20,286][train_and_eval.py][line:111][INFO] epoch [13]: train loss is:0.000665,train acc is:0.985220
[2021-12-18 15:14:20,714][train_and_eval.py][line:74][INFO] test loss is:0.009559,test acc is:0.883113
[2021-12-18 15:15:02,282][train_and_eval.py][line:111][INFO] epoch [14]: train loss is:0.000569,train acc is:0.987175
[2021-12-18 15:15:02,710][train_and_eval.py][line:74][INFO] test loss is:0.010754,test acc is:0.883814
[2021-12-18 15:15:44,373][train_and_eval.py][line:111][INFO] epoch [15]: train loss is:0.000537,train acc is:0.988287
[2021-12-18 15:15:44,803][train_and_eval.py][line:74][INFO] test loss is:0.011048,test acc is:0.881310
[2021-12-18 15:16:26,333][train_and_eval.py][line:111][INFO] epoch [16]: train loss is:0.000509,train acc is:0.988487
[2021-12-18 15:16:26,762][train_and_eval.py][line:74][INFO] test loss is:0.011619,test acc is:0.881010
[2021-12-18 15:17:08,385][train_and_eval.py][line:111][INFO] epoch [17]: train loss is:0.000468,train acc is:0.990243
[2021-12-18 15:17:08,813][train_and_eval.py][line:74][INFO] test loss is:0.012196,test acc is:0.881510
[2021-12-18 15:17:50,417][train_and_eval.py][line:111][INFO] epoch [18]: train loss is:0.000448,train acc is:0.990254
[2021-12-18 15:17:50,844][train_and_eval.py][line:74][INFO] test loss is:0.013325,test acc is:0.882212
[2021-12-18 15:18:32,367][train_and_eval.py][line:111][INFO] epoch [19]: train loss is:0.000424,train acc is:0.990854
[2021-12-18 15:18:32,794][train_and_eval.py][line:74][INFO] test loss is:0.013776,test acc is:0.882512
[2021-12-18 15:19:14,393][train_and_eval.py][line:111][INFO] epoch [20]: train loss is:0.000408,train acc is:0.991643
[2021-12-18 15:19:14,822][train_and_eval.py][line:74][INFO] test loss is:0.014008,test acc is:0.878005
[2021-12-18 15:19:14,822][train_and_eval.py][line:122][INFO] finish training!
